Landcover Type;Select Crop Type;Type of Water Source;Select Crop Condition;Crop Chlorophyll;Soil EC;LAI;Height_cm;Soil_Temp;X;Y
crop;tomato;irrigated;good;40,9;0,23;3,7;75;17;30.14658933;-22.8947477
crop;tomato;irrigated;good;47,7;0,26;2,3;74;16,8;30.14650633;-22.89473385
crop;tomato;irrigated;good;44,4;0,25;2,76;61;14,6;30.14630463;-22.89471749
crop;tomato;irrigated;good;52,9;0,27;3,96;69;16,2;30.14614696;-22.89469116
crop;tomato;irrigated;good;50,7;0,34;3,75;68;15,8;30.14607037;-22.89457474
crop;tomato;irrigated;good;55,6;0,26;3,52;77;18,5;30.14600159;-22.8945678
crop;tomato;irrigated;good;48;0,51;3,72;60;16;30.14594595;-22.89455266
crop;tomato;irrigated;good;48,4;0,2;2,69;64;16,2;30.14567431;-22.89453152
crop;tomato;irrigated;good;55,5;0,31;2,6;70;17,9;30.14565642;-22.89438575
crop;tomato;irrigated;good;49,8;0,25;2,36;68;16,3;30.14591601;-22.89441462
crop;tomato;irrigated;good;43,2;0,24;2,62;70;17,3;30.14600388;-22.89442507
crop;tomato;irrigated;good;43,3;0,33;3,42;67;20,4;30.14605368;-22.89442374
crop;tomato;irrigated;stressed;23;0,36;3,34;45;18,6;30.14589373;-22.89390097
crop;tomato;irrigated;stressed;23,8;0,29;2,88;60;19,5;30.14587312;-22.89386463
crop;tomato;irrigated;stressed;23,8;0,7;3,71;50;20,6;30.14579768;-22.89375036
crop;tomato;irrigated;stressed;14,3;0,21;3,15;55;19,9;30.14581867;-22.89370972
crop;tomato;irrigated;stressed;15,9;0,37;2,16;47;19,3;30.14582963;-22.89360764
crop;tomato;irrigated;stressed;18,4;0,2;2,13;44;19,2;30.14580799;-22.89355101
crop;tomato;irrigated;stressed;15,1;0,37;2,31;50;17,4;30.14614825;-22.89358205
crop;tomato;irrigated;stressed;15,1;0,34;2,13;44;20;30.14641504;-22.89365319
crop;tomato;irrigated;stressed;15,8;0,23;2,31;44;18,3;30.14653924;-22.89366742
crop;tomato;irrigated;stressed;12,7;0,16;2,7;35;19,2;30.14654949;-22.89374636
crop;tomato;irrigated;stressed;16,5;0,35;1,9;38;21,1;30.14646794;-22.893783
crop;tomato;irrigated;stressed;13,8;0,42;3,15;46;16,8;30.14640328;-22.89384041
crop;Squash;irrigated;good;49,2;0,21;2,8;;17,5;30.14882247;-22.89551503
crop;Squash;irrigated;good;53;0,26;5,43;;19;30.14926568;-22.89550811
crop;Squash;irrigated;good;37,6;0,25;3,15;;17,1;30.14934077;-22.89550115
crop;Squash;irrigated;good;33;0,26;4,3;;15,8;30.14935543;-22.89558795
crop;Squash;irrigated;stressed;39;0,39;3,12;;16;30.14914589;-22.89558696
crop;Squash;irrigated;good;35,7;0,26;3,7;;15,4;30.14878321;-22.89561242
crop;Squash;irrigated;stressed;43,3;0,24;2,3;;17,3;30.14883205;-22.89564925
crop;Squash;irrigated;good;46;0,37;2,76;;17;30.14915325;-22.89565047
crop;Squash;irrigated;good;49;0,21;3,96;;16,8;30.14936655;-22.8956715
crop;Squash;irrigated;good;42;0,3;3,75;;14,6;30.14930833;-22.89570144
crop;Squash;irrigated;good;48,2;0,34;3,52;;16,2;30.14902874;-22.89571038
crop;Squash;irrigated;good;50;0,23;3,72;;15,8;30.14881143;-22.89571515
crop;Squash;irrigated;good;37,6;0,16;2,69;;18,5;30.14885697;-22.89578243
crop;Squash;irrigated;good;53,7;0,35;2,6;;16;30.14904407;-22.895769
